Year,Country,Resettled by destination per capita,Remittances (% GDP),Five-year change immigrants,Refugees by destination,Child migrants (UNICEF),Resettled by origin,Child migrants (under-20s),Asylum seekers by origin (per capita),Child migrants per capita (under-20s),Five-year change immigrants per capita,Refugees by destination,Resettled by destination,Internal displacement (disasters),Annual internal displacements (Disaster),Asylum seekers by destination,Five-year change emigrants,Annual internal displacement from conflict (%),Refugees by destination (per capita),Refugees by origin (per capita),"Child migrants (UNICEF, under-18s)",Refugees by origin,Internal displacement (disaster),Emigrants,Annual internal displacement (conflict),Internal displacement share (conflict),Asylum seekers by origin,International immigrants (% population),International migrants,Internal displacement (conflict),Asylum seekers by destination (per capita),Resettled arrivals by origin (per capita),Annual internal displacement from disaster (%),Net migration rate,Remittances cost (to),Child migrants (UNDESA),Child migrants per capita (UNDESA),Net migration,Remittances cost (from),Five-year change emigrants per capita,International emigrants (% population),Refugees by destination (per capita)
2006,Kenya,,2.138,,,,210,,14.677,,,269991,,,,11789,,,,0.165,,6213,,,,,5525,,,,31.314,0.558,,,,,,,,,,7.171
2007,Kenya,,1.969,,,,99,,10.022,,,293808,,,,13687,,,,0.19,,7366,,,,,3879,,,,35.364,0.257,,,,,,,,,,7.591
2008,Kenya,,1.818,,,,61,,4.832,,,324132,,,,15990,,,,0.205,,8156,,,,,1922,,,,40.184,0.155,,,,,,,,,,8.146
2009,Kenya,,1.775,,,,78,,4.952,,,382923,,,,19342,,,,0.216,,8830,,,,,2025,,,,47.289,0.191,,,,,,,,,,9.362
2010,Kenya,,1.8,181571,430871,,96,308419,4.737,7.338,4.32,442761,,,54448,26577,80601,,10.251,0.217,,9110,,442632,,,1991,2.272,954925,,63.234,0.23,0.13,-0.963,,232612,5.534,-189330,,1.918,1.053,10.534
2011,Kenya,,1.851,,,,86,,4.609,,,485629,,,88485,35279,,0.103,,0.206,,8890,,,44600,0.677,1990,,,292400,81.706,0.2,0.205,,,,,,,,,11.247
2012,Kenya,,1.975,,,,98,,4.465,,,524116,,,70421,38286,,0.2,,0.196,,8677,,,88635,0.686,1980,,,304240,86.34,0.221,0.159,,,,,,,,,11.819
2013,Kenya,,2.121,,,,115,,5.057,,,554319,,,80681,40685,,0.195,,0.188,,8541,,,88635,0.694,2301,,,316080,89.379,0.254,0.177,,11.387,,,,9.758,,,12.177
2014,Kenya,,2.188,,,,132,,5.771,,,531242,,,84935,42381,,0.179,,0.178,,8300,,,83528,0.629,2695,,,293765,90.752,0.284,0.182,,10.564,,,,9.865,,,11.376
2015,Kenya,,2.237,171961,593881,,151,388551,7.371,8.115,3.592,504637,,,72495,45293,38015,0.129,12.404,0.168,,8024,,480647,61924,0.555,3529,2.354,1126886,265493,94.6,0.317,0.151,-0.222,9.706,299422,6.254,-50000,9.757,0.794,1.004,10.54
2016,Kenya,,2.404,,,,179,,9.272,,,481898,,,103692,44930,,,,0.159,,7804,,,,0.439,4548,,,215461,91.598,0.367,0.211,,8.903,,,,10.131,,,9.824
2017,Kenya,,2.547,,,,227,,11.03,,,459408,,,118207,48733,,0.102,,0.152,,7636,,,51292,0.37,5539,,,185990,97.037,0.453,0.235,,8.355,,,,10.642,,,9.148
2018,Kenya,,2.713,,,,193,,12.996,,,439210,,,164193,51125,,0.016,,0.147,,7540,,,8038,0.316,6679,,,162150,99.481,0.376,0.319,,8.278,,,,10.341,,,8.546
2019,Kenya,,,,,,,,15.032,,,442247,,0.003,,53351,,,,0.143,,7541,1400,,,,7903,,,,101.48,,,,,,,,,,,8.412
2020,Kenya,,,-76739,489747,297000,,325486,,6.053,-1.427,,,0.379,,,54701,,9.108,,5.523,,204000,535348,,,,1.953,1050147,,,,,-0.197,,253233,4.709,-50000,,1.017,0.996,
1955,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.712,,,,-646,,,,
1960,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.94,,,,-766,,,,
1965,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.588,,,,-786,,,,
1970,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.759,,,,-917,,,,
1975,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.216,,,,-1120,,,,
1980,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.188,,,,-2342,,,,
1981,Kiribati,,4.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,Kiribati,,5.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,Kiribati,,6.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Kiribati,,8.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,Kiribati,,10.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.769,,,,-3011,,,,
1986,Kiribati,,11.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,Kiribati,,12.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Kiribati,,12.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Kiribati,,12.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Kiribati,,11.583,,,,,990,,13.675,,,,,,,,,,,,,,4053,,,,2.986,2162,,,,,-1.947,,721,9.959,-664,,,5.599,
1991,Kiribati,,12.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Kiribati,,12.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,Kiribati,,10.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Kiribati,,9.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,Kiribati,,,61,,,,981,,12.623,0.785,,,,,,193,,,,,,,4246,,,,2.86,2223,,,,,-11.817,,711,9.149,-4435,,2.483,5.463,
2000,Kiribati,,,60,,,,972,,11.516,0.711,,,,,,-255,,,,,,,3991,,,,2.705,2283,,,,,-6.911,,700,8.293,-2801,,-3.021,4.728,
2005,Kiribati,,9.576,204,,,,1057,,11.449,2.21,,,,,,30,,,0.329,,30,,4021,,,,2.694,2487,,,,,-4.386,,761,8.243,-1938,,0.325,4.356,
2006,Kiribati,,9.013,,,,,,,,,,,,,,,,,0.367,,34,,,,,,,,,,,,,,,,,,,,
2007,Kiribati,,8.618,,,,,,,,,,,,,,,,,0.358,,34,,,,,,,,,,,,,,,,,,,,
2008,Kiribati,,10.623,,,,,,,,,,,,,,,,,0.35,,34,,,,,,,,,,,,,,,,,,,,
2009,Kiribati,,10.141,,,,,,,,,,,,,,,,,0.327,,33,,,,,,,,,,,,,,,,,,,,
2010,Kiribati,,9.894,381,,,,1217,,11.824,3.702,,,,,,-456,,,0.317,,32,,3565,,,,2.786,2868,,,,,-0.604,,876,8.511,-295,,-4.43,3.464,
2011,Kiribati,,9.72,,,,,,5.729,,,,,,,,,,,0.283,,29,,,,,6,,,,,,,,,,,,,,,
2012,Kiribati,,9.421,,,,,,5.641,,,,,,,,,,,0.229,,24,,,,,6,,,,,,,,,,,,,,,
2013,Kiribati,,9.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Kiribati,,9.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Kiribati,,9.075,51,,,,991,,8.934,0.46,,,,,,562,,,,,,,4127,,,,2.631,2919,,,,,-7.712,,681,6.139,-4123,,5.066,3.72,
2016,Kiribati,,9.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Kiribati,,9.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Kiribati,,9.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Kiribati,,,207,,0,,891,,7.459,1.733,,,,,,976,,,,0,,,5103,,,,2.617,3126,,,,,-6.943,,636,5.325,-3999,,8.171,4.272,
2010,Kosovo,,18.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Kosovo,,17.322,,,,,,,,,,,,,,,,,,,,,,0,,,,,18207,,,,,,,,,,,,
2012,Kosovo,,16.218,,,,,,,,,,,,,,,,,,,,,,0,,,,,17690,,,,,,,,,,,,
2013,Kosovo,,15.536,,,,,,,,,,,,,,,,,,,,,,0,,,,,17402,,,,,,,,,,,,
2014,Kosovo,,15.354,,,,,,,,,,,,,,,,,,,,,,,,,,,17114,,,,,,,,,,,,
2015,Kosovo,,15.383,,,,,,,,,,,,,,,,,,,,,,,,,,,16849,,,,,,,,,,,,
2016,Kosovo,,15.377,,,,,,,,,,,,,,,,,,,,,,,,,,,16630,,,,,,,,,,,,
2017,Kosovo,,15.433,,,,,,,,,,,,,,,,,,,,,,,,,,,16438,,,,,,,,,,,,
2018,Kosovo,,16.069,,,,,,,,,,,,,,,,,,,,,,,,,,,16271,,,,,7.439,,,,,,,
1955,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.597,,,,3850,,,,
1960,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.794,,,,52750,,,,
1965,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.948,,,,137000,,,,
1970,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.204,,,,146600,,,,
1975,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.705,,,,95836,,,,
1980,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.611,,,,141100,,,,
1981,Kuwait,,,,,,,,,,,3288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.284
1982,Kuwait,,,,,,,,,,,2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89
1983,Kuwait,,,,,,,,,,,2306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.462
1984,Kuwait,,,,,,,,,,,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.179
1985,Kuwait,,,,,,,,,,,10622,,,,,,,,,,,,,,,,,,,,,,14.864,,,,115340,,,,6.121
1989,Kuwait,,,,,,,,,,,19153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.152
1990,Kuwait,,,,30000,,,357114,,170.432,,,,,,,,,14.317,,,,,81583,,,,51.275,1074391,,,,,12.506,,291831,139.276,119768,,,3.894,
1991,Kuwait,,,,,,,,,,,24591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.106
1992,Kuwait,,,,,,31,,,,,30139,,,,,,,,0.107,,204,,,,,,,,,,1.631,,,,,,,,,,15.76
1993,Kuwait,,,,,,28,,,,,30759,,,,,,,,0.196,,347,,,,,,,,,,1.613,,,,,,,,,,17.352
1994,Kuwait,,,,,,28,,,,,22407,,,,,,,,0.307,,508,,,,,,,,,,1.712,,,,,,,,,,13.504
1995,Kuwait,,,-152437,3306,,22,219131,,136.453,-94.923,14188,,,,,15426,,2.059,0.41,,658,,97009,,,,57.41,921954,,,1.395,,-70.787,,180110,112.155,-655000,,9.606,6.041,8.835
1996,Kuwait,,,,,,36,,,,,9025,,,,,,,,0.495,,805,,,,,,,,,,2.237,,,,,,,,,,5.548
1997,Kuwait,,,,,,73,,,,,3887,,,,,,,,0.498,,851,,,,,,,,,,4.315,,,,,,,,,,2.273
1998,Kuwait,,,,,,75,,,,,3781,,,,,,,,0.457,,836,,,,,,,,,,4.14,,,,,,,,,,2.065
1999,Kuwait,,,,,,81,,,,,3266,,,,,,,,0.412,,804,,,,,,,,,,4.171,,,,,,,,,,1.674
2000,Kuwait,,,205686,2776,,84,235233,,115.021,100.574,2813,,,,,16406,,1.357,0.382,,780,,113415,,,,55.138,1127640,,,4.117,,26.513,,182688,89.329,242000,,8.022,5.546,1.376
2001,Kuwait,,,,,,,,,,,2280,,,,,,,,0.351,,738,,,,,,,,,,,,,,,,,,,,1.084
2002,Kuwait,,,,,,66,,5.176,,,1717,,,,135,,,,0.29,,619,,,,,110,,,,6.336,3.107,,,,,,,,,,0.804
2003,Kuwait,,,,,,32,,4.811,,,1467,,,,166,,,,0.257,,556,,,,,104,,,,7.679,1.499,,,,,,,,,,0.679
2004,Kuwait,,,,,,33,,4.517,,,1226,,,,255,,,,0.245,,539,,,,,99,,,,11.588,1.5,,,,,,,,,,0.557
2005,Kuwait,,,205890,1726,,33,221077,4.273,97.382,90.693,8553,,,,358,15590,,0.76,0.241,,547,,129005,,,97,58.741,1333530,,15.778,1.471,,2.456,,169664,74.735,26500,,6.867,5.683,3.768
2006,Kuwait,,,,,,30,,3.724,,,15897,,,,849,,,,0.25,,593,,,,,88,,,,35.784,1.264,,,,,,,,,,6.697
2007,Kuwait,,0,,,,28,,3.267,,,15637,,,,1414,,,,0.28,,702,,,,,81,,,,56.477,1.118,,,,,,,,,,6.245
2008,Kuwait,,0.001,,,,34,,3.2,,,15370,,,,2026,,,,0.31,,824,,,,,85,,,,76.31,1.28,,,,,,,,,,5.787
2009,Kuwait,,0.002,,,,37,,3.304,,,15427,,,,2144,,,,0.328,,924,,,,,93,,,,76.007,1.326,,,,,,,,,,5.469
2010,Kuwait,,0.002,541282,3459,,31,538230,3.322,179.897,180.917,7931,,,,2169,48811,,1.156,0.339,,1014,,177816,,,99,62.663,1874812,,72.523,1.063,,36.449,,420361,140.5,479500,,16.314,5.943,2.651
2011,Kuwait,,0.002,,,,28,,3.845,,,410,,,,1846,,,,0.328,,1038,,,,,121,,,,58.269,0.909,,,,,,,,,,0.13
2012,Kuwait,,0.003,,,,31,,4.855,,,488,,,,1457,,,,0.312,,1046,,,,,162,,,,43.507,0.95,,,,,,,,,,0.146
2013,Kuwait,,0.008,,,,24,,6.596,,,598,,,,983,,,,0.302,,1064,,,,,232,,,,27.881,0.692,,,,,,,,,,0.17
2014,Kuwait,,0.008,,,,20,,8.935,,,718,,,,925,,,,0.283,,1044,,,,,329,,,,25.061,0.542,,,,,,,,,,0.195
2015,Kuwait,,0.011,991324,1641,,18,489277,12.853,127.562,258.454,705,,,,948,17218,,0.428,0.268,,1026,,195034,,,493,74.725,2866136,,24.726,0.49,,33.98,,391455,102.059,580000,,4.489,5.085,0.184
2016,Kuwait,,0.015,,,,17,,17.751,,,713,,,,939,,,,0.273,,1082,,,,,702,,,,23.736,0.45,,,,,,,,,,0.18
2017,Kuwait,,0.018,,,,,,22.953,,,728,,,,947,,,,0.283,,1147,,,,,931,,,,23.352,,,,,,,,,,,0.18
2018,Kuwait,,0.017,,,,,,27.259,,,727,,,,977,,,,0.294,,1216,,,,,1127,,,,23.624,,,,,,,,3.077,,,0.176
2019,Kuwait,,,,,,,,30.9,,,688,,,,1030,,,,0.315,,1325,,,,,1300,,,,24.502,,,,,,,,,,,0.164
2020,Kuwait,,,244023,1765,591000,,651260,,152.5,57.141,,,,,,17237,,0.413,,138.389,,,212271,,,,72.828,3110159,,,,,9.751,,521053,122.01,197600,,4.036,4.971,
1955,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.924,,,,17524,,,,
1960,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.769,,,,28204,,,,
1965,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.702,,,,103107,,,,
1970,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.523,,,,104185,,,,
1975,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.771,,,,-12065,,,,
1980,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.657,,,,-45839,,,,
1985,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.849,,,,-54162,,,,
1990,Kyrgyzstan,,,,,,,114853,,26.265,,,,,,,,,,,,,,522574,,,,14.249,623083,,,,,-6.067,,79279,18.13,-126883,,,11.95,
1995,Kyrgyzstan,,0.102,-104745,13407,,,66365,,14.534,-22.94,17574,,,,,27448,,2.936,,,,,550022,,,,11.352,518338,,,,,-12.362,,40935,8.965,-276249,,6.011,12.046,3.849
1996,Kyrgyzstan,,0.111,,,,,,,,,16237,,,,,,,,1.768,,8184,,,,,,,,,,,,,,,,,,,,3.508
1997,Kyrgyzstan,,0.118,,,,,,,,,14159,,,,,,,,1.909,,8982,,,,,,,,,,,,,,,,,,,,3.009
1998,Kyrgyzstan,,0.136,,,,,,,,,13600,,,,,,,,1.907,,9127,,,,,,,,,,,,,,,,,,,,2.841
1999,Kyrgyzstan,,0.168,,,,79,,,,,12117,,,,,,,,1.202,,5841,,,,,,,,,,1.625,,,,,,,,,,2.493
2000,Kyrgyzstan,,0.515,-128514,10995,,91,52436,,10.656,-26.117,10603,,,,,16293,,2.234,0.644,,3167,,566315,,,,7.922,389824,,,1.857,,-1.15,,34157,6.941,-27268,,3.311,11.509,2.155
2001,Kyrgyzstan,,1.221,,,,99,,,,,8810,,,,,,,,0.465,,2306,,,,,,,,,,2.007,,,,,,,,,,1.775
2002,Kyrgyzstan,,2.822,,,,108,,9.388,,,7391,,,,517,,,,0.433,,2162,,,,,468,,,,10.37,2.164,,,,,,,,,,1.481
2003,Kyrgyzstan,,5.336,,,,92,,9.506,,,5789,,,,538,,,,0.526,,2638,,,,,476,,,,10.731,1.847,,,,,,,,,,1.155
2004,Kyrgyzstan,,8.614,,,,78,,10.212,,,4002,,,,557,,,,0.595,,3000,,,,,514,,,,11.07,1.548,,,,,,,,,,0.794
2005,Kyrgyzstan,,11.94,-80425,3096,,69,32076,9.769,6.32,-15.846,2606,,,,569,86537,,0.61,0.564,,2861,,652852,,,495,6.096,309399,,11.223,1.367,,-6.919,,18999,3.743,-172911,,17.05,12.863,0.513
2006,Kyrgyzstan,,15.967,,,,67,,8.86,,,1562,,,,593,,,,0.534,,2738,,,,,454,,,,11.58,1.311,,,,,,,,,,0.305
2007,Kyrgyzstan,,18.535,,,,44,,8.576,,,895,,,,602,,,,0.502,,2603,,,,,444,,,,11.616,0.849,,,,,,,,,,0.173
2008,Kyrgyzstan,,21.27,,,,39,,13.02,,,868,,,,614,,,,0.481,,2527,,,,,684,,,,11.688,0.75,,,,,,,,,,0.165
2009,Kyrgyzstan,,23.446,,,,37,,16.492,,,2015,,,,581,,,,0.499,,2661,,,,,879,,,,10.895,0.694,,,,,,,,,,0.378
2010,Kyrgyzstan,,25.894,-77334,3012,,44,27523,18.999,5.076,-14.262,2859,,,,508,73692,,0.555,0.536,,2907,,726544,,,1030,4.28,232065,,9.38,0.815,,-2.919,,14510,2.676,-76604,,13.591,13.399,0.527
2011,Kyrgyzstan,,27.346,,,,38,,21.867,,,2877,,,1400,433,,,,0.519,,2862,,,,,1206,,,,7.862,0.7,0.025,,,,,,,,,0.522
2012,Kyrgyzstan,,29.165,,,,29,,26.469,,,2890,,,,377,,1.07,,0.503,,2829,,,60154,,1488,,,,6.721,0.516,,,,,,,,,,0.514
2013,Kyrgyzstan,,28.937,,,,21,,28.416,,,2467,,,,300,,0.004,,0.485,,2779,,,204,,1628,,,,5.238,0.373,,,1.781,,,,,,,0.431
2014,Kyrgyzstan,,29.278,,,,30,,30.627,,,1315,,,,243,,,,0.455,,2661,,,,,1790,,,,4.165,0.517,,,2.012,,,,,,,0.225
2015,Kyrgyzstan,,29.581,-27683,512,,20,16636,34.649,2.792,-4.645,393,,,1853,195,16297,,0.086,0.422,,2517,,742841,,,2064,3.43,204382,,3.276,0.342,0.031,-3.281,2.408,9823,1.648,-93353,,2.735,12.466,0.066
2016,Kyrgyzstan,,29.871,,,,25,,38.707,,,366,,,2791,140,,,,0.435,,2644,,,,,2351,,,,2.311,0.421,0.046,,3.12,,,,,,,0.06
2017,Kyrgyzstan,,29.299,,,,27,,40.441,,,338,,,,131,,,,0.444,,2747,,,,,2503,,,,2.12,0.439,,,3.739,,,,,,,0.055
2018,Kyrgyzstan,,30.509,,,,,,41.079,,,335,,,,167,,,,0.448,,2824,,,,,2589,,,,2.662,,,,4.392,,,,,,,0.053
2019,Kyrgyzstan,,,,,,,,41.999,,,334,,,,234,,,,0.449,,2878,,,,,2694,,,,3.65,,,,,,,,,,,0.052
2020,Kyrgyzstan,,,-5371,517,11000,,13424,,2.058,-0.823,,,,,,31536,,0.079,,1.686,,,774377,,,,3.05,199011,,,,,-0.641,,8248,1.264,-20000,,4.834,11.869,
1955,Land-locked Developing Countries (LLDC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.892,,,,489194,,,,
1960,Land-locked Developing Countries (LLDC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.278,,,,784908,,,,
1965,Land-locked Developing Countries (LLDC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.782,,,,543291,,,,
1970,Land-locked Developing Countries (LLDC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482,,,,379138,,,,
1975,Land-locked Developing Countries (LLDC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.323,,,,-1174739,,,,
1980,Land-locked Developing Countries (LLDC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.122,,,,-5087973,,,,
1985,Land-locked Developing Countries (LLDC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.473,,,,-4957305,,,,
1990,Land-locked Developing Countries (LLDC),,,,2466944,,,3447257,,,,,,,,,,,,,,,,25086015,,,,,14212843,,,,,-2.404,,2433567,,-3006066,,,,
1995,Land-locked Developing Countries (LLDC),,,-1842786,1708822,,,2770405,,,,,,,,,-1211238,,,,,,,23874777,,,,,12370057,,,,,-2.151,,1967782,,-3035394,,,,
2000,Land-locked Developing Countries (LLDC),,,-866231,1416388,,,2566405,,,,,,,,,-740298,,,,,,,23134479,,,,,11503826,,,,,-2.525,,1803544,,-3993420,,,,
2005,Land-locked Developing Countries (LLDC),,,72202,1371761,,,2625061,,,,,,,,,1153583,,,,,,,24288062,,,,,11576028,,,,,-1.278,,1849020,,-2263736,,,,
2010,Land-locked Developing Countries (LLDC),,,21148,986653,,,2497316,,,,,,,,,3452843,,,,,,,27740905,,,,,11597176,,,,,-1.952,,1721469,,-3881623,,,,
2015,Land-locked Developing Countries (LLDC),,,2224244,2651832,,,3267591,,,,,,,,,3595384,,,,,,,31336289,,,,,13821420,,,,,-1.701,,2386847,,-3803020,,,,
2020,Land-locked Developing Countries (LLDC),,,1201300,3638192,,,3708147,,,,,,,,,3941479,,,,,,,35277768,,,,,15022720,,,,,-0.72,,2778030,,-1811839,,,,
1955,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,,,,-10,,,,
1960,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,46,,,,
1965,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,,,76,,,,
1970,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,30,,,,
1975,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,46,,,,
1976,Laos,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071
1977,Laos,,,,,,824,,,,,102,,,,,,,,28.391,,89030,,,,,,,,,,26.29,,,,,,,,,,0.033
1978,Laos,,,,,,2083,,,,,2162,,,,,,,,31.235,,98979,,,,,,,,,,65.734,,,,,,,,,,0.682
1979,Laos,,,,,,2278,,,,,2840,,,,,,,,32.561,,104433,,,,,,,,,,71.05,,,,,,,,,,0.885
1980,Laos,,,,,,4245,,,,,3520,,,,,,,,32.152,,104756,,,,,,,,,,130.301,,-12.6,,,,-198756,,,,1.08
1981,Laos,,,,,,4877,,,,,3748,,,,,,,,29.467,,97929,,,,,,,,,,146.773,,,,,,,,,,1.128
1982,Laos,,,,,,5737,,,,,3966,,,,,,,,26.317,,89510,,,,,,,,,,168.676,,,,,,,,,,1.166
1983,Laos,,,,,,5645,,,,,1908,,,,,,,,25.307,,88319,,,,,,,,,,161.769,,,,,,,,,,0.547
1984,Laos,,,,,,8169,,,,,,,,,,,,,24.695,,88564,,,,,,,,,,227.788,,,,,,,,,,
1985,Laos,,,,,,9432,,,,,,,,,,,,,23.923,,88225,,,,,,,,,,255.778,,-2.022,,,,-35110,,,,
1986,Laos,,0.391,,,,11884,,,,,,,,,,,,,25.932,,98390,,,,,,,,,,313.23,,,,,,,,,,
1987,Laos,,0.592,,,,12880,,,,,,,,,,,,,27.59,,107754,,,,,,,,,,329.789,,,,,,,,,,
1988,Laos,,0.814,,,,13599,,,,,,,,,,,,,28.606,,115020,,,,,,,,,,338.215,,,,,,,,,,
1989,Laos,,0.975,,,,12921,,,,,,,,,,,,,29.294,,121243,,,,,,,,,,312.208,,,,,,,,,,
1990,Laos,,1.102,,,,11185,9546,,2.242,,,,,,,,,,29.282,,124696,,483008,,,,0.537,22866,,,262.653,,0.007,,6898,1.62,138,,,11.342,
1991,Laos,,1.06,,,,9484,,,,,,,,,,,,,25.672,,112423,,,,,,,,,,216.572,,,,,,,,,,
1992,Laos,,0.958,,,,8117,,,,,,,,,,,,,21.488,,96703,,,,,,,,,,180.377,,,,,,,,,,
1993,Laos,,0.71,,,,6982,,,,,,,,,,,,,17.579,,81215,,,,,,,,,,151.127,,,,,,,,,,
1994,Laos,,0.513,,,,5376,,,,,,,,,,,,,13.964,,66131,,,,,,,,,,113.526,,,,,,,,,,
1995,Laos,,0.327,660,,,4077,6953,,1.435,0.136,,,,,,64778,,,11.219,,54373,,547786,,,,0.485,23526,,,84.139,,-2.661,,4700,0.97,-60567,,13.366,11.303,
1996,Laos,,0.155,,,,2671,,,,,,,,,,,,,9.145,,45277,,,,,,,,,,53.951,,,,,,,,,,
1997,Laos,,0.033,,,,1401,,,,,,,,,,,,,7.639,,38577,,,,,,,,,,27.745,,,,,,,,,,
1998,Laos,,0.036,,,,660,,,,,,,,,,,,,5.862,,30155,,,,,,,,,,12.829,,,,,,,,,,
1999,Laos,,0.039,,,,222,,,,,,,,,,,,,4.45,,23299,,,,,,,,,,4.244,,,,,,,,,,
2000,Laos,,0.041,-1578,,,25,6487,,1.219,-0.296,,,,,,101501,,,3.395,,18071,,649287,,,,0.412,21948,,,0.481,,-5.3,,4480,0.842,-134746,,19.066,12.196,
2001,Laos,,0.04,,,,27,,,,,,,,,,,,,2.651,,14340,,,,,,,,,,0.503,,,,,,,,,,
2002,Laos,,0.038,,,,1233,,10.995,,,,,,,,,,,2.418,,13284,,,,,604,,,,,22.46,,,,,,,,,,
2003,Laos,,0.037,,,,2925,,11.351,,,,,,,,,,,2.682,,14954,,,,,633,,,,,52.462,,,,,,,,,,
2004,Laos,,0.053,,,,3088,,8.778,,,,,,,,,,,3.129,,17718,,,,,497,,,,,54.544,,,,,,,,,,
2005,Laos,,0.074,-1577,,,3134,4690,6.043,0.815,-0.274,,,,,,247715,,,3.038,,17474,,897002,,,347,0.354,20371,,,54.499,,-5.349,,3215,0.559,-148100,,43.068,15.595,
2006,Laos,,0.132,,,,3143,,4.933,,,,,,,,,,,2.929,,17121,,,,,288,,,,,53.776,,,,,,,,,,
2007,Laos,,0.254,,,,1934,,3.906,,,,,,,,,,,2.62,,15578,,,,,232,,,,,32.542,,,,,,,,,,
2008,Laos,,0.365,,,,295,,2.921,,,,,,,,,,,2.046,,12372,,,,,176,,,,,4.889,,,,,,,,,,
